sentence,label
word_216 word_272 word_22 word_56 word_247 word_123 word_75 word_274 word_37 word_271 word_244,1
word_45 word_149 word_130 word_273 word_151 word_12 word_175 word_104 word_116 word_103 word_115 word_31 word_78 word_103,1
word_45 word_265 word_246 word_206 word_1 word_1 word_53 word_150 word_3 word_253 word_8 word_18 word_27 word_114,0
word_7 word_260 word_81 word_80 word_121 word_204 word_252 word_169 word_25 word_200 word_246 word_67 word_201,0
word_148 word_24 word_265 word_137 word_190 word_32 word_179 word_79 word_135 word_167 word_294,1
word_32 word_43 word_232 word_256 word_203 word_84 word_74 word_35 word_112 word_198 word_252 word_25 word_28 word_133,1
word_131 word_88 word_299 word_151 word_248 word_29 word_174 word_297 word_164 word_74 word_81 word_212 word_88,1
word_214 word_220 word_50 word_133 word_98 word_125 word_163 word_12 word_283 word_157 word_42 word_22,0
word_182 word_181 word_30 word_193 word_175 word_11 word_5 word_100 word_126 word_106 word_153 word_113,0
word_217 word_256 word_241 word_191 word_258 word_261 word_222 word_84 word_61 word_100 word_94 word_186,1
word_80 word_179 word_221 word_103 word_216 word_136 word_203 word_276 word_18,0
word_55 word_220 word_154 word_207 word_131 word_38,0
word_254 word_149 word_296 word_207 word_268,1
word_294 word_270 word_22 word_94 word_173 word_73 word_1 word_68 word_30 word_140 word_55 word_35 word_143,1
word_184 word_195 word_52 word_25 word_74 word_113 word_184 word_247,0
word_45 word_165 word_186 word_29 word_109 word_293 word_95 word_267 word_92 word_61 word_209 word_74 word_221 word_190 word_64,0
word_236 word_294 word_10 word_162 word_195 word_219 word_61 word_267,0
word_132 word_269 word_133 word_267 word_207 word_78 word_162 word_143 word_73 word_91 word_296 word_141,0
word_89 word_91 word_248 word_264 word_1 word_299 word_27 word_290,0
word_289 word_140 word_275 word_105 word_121 word_191 word_55 word_7 word_57 word_61 word_124 word_115 word_173 word_132 word_11,1
word_208 word_68 word_276 word_192 word_159 word_93 word_292 word_99 word_5 word_140,0
word_57 word_272 word_188 word_87 word_83 word_139 word_250 word_170 word_244,0
word_93 word_29 word_11 word_240 word_46 word_143 word_158 word_47 word_11 word_216 word_156 word_152,1
word_191 word_61 word_81 word_287 word_61 word_13 word_117 word_158 word_176 word_79,0
word_238 word_235 word_238 word_137 word_101 word_64 word_65,0
word_26 word_9 word_245 word_170 word_274,0
word_139 word_153 word_168 word_265 word_258 word_35 word_204 word_295 word_189 word_233 word_90 word_102 word_67,1
word_2 word_4 word_6 word_280 word_174 word_42 word_132 word_198 word_73 word_246 word_94 word_23,1
word_53 word_171 word_141 word_53 word_279 word_120 word_238,0
word_248 word_15 word_93 word_181 word_46 word_102 word_48 word_134 word_94 word_222 word_205,0
word_270 word_70 word_69 word_285 word_79 word_153 word_272,0
word_238 word_263 word_250 word_10 word_45 word_214 word_271 word_93 word_88 word_169 word_248 word_6,0
word_75 word_38 word_169 word_203 word_285 word_20 word_230 word_154,1
word_217 word_158 word_17 word_238 word_204 word_249 word_120 word_87 word_4 word_262 word_294,1
word_89 word_191 word_148 word_72 word_127 word_292 word_161 word_93,1
word_147 word_14 word_130 word_220 word_111 word_57 word_47,1
word_25 word_240 word_258 word_203 word_130 word_291 word_159 word_23,0
word_244 word_157 word_127 word_191 word_178 word_121 word_203 word_13 word_18 word_229 word_287 word_30 word_52 word_264 word_104,1
word_185 word_76 word_255 word_32 word_140 word_100 word_77 word_154 word_241 word_156 word_47 word_174 word_55,1
word_295 word_140 word_258 word_139 word_12 word_209,1
word_59 word_159 word_35 word_261 word_249 word_2 word_27 word_46 word_216 word_11 word_53,0
word_29 word_128 word_176 word_207 word_27 word_117 word_106 word_96 word_285,1
word_92 word_76 word_257 word_254 word_101 word_77 word_38 word_231 word_89 word_156,1
word_156 word_213 word_129 word_194 word_281,1
word_144 word_58 word_111 word_58 word_195 word_246 word_49 word_26 word_272 word_160 word_135,1
word_201 word_154 word_177 word_63 word_119 word_149 word_120 word_226 word_74,1
word_222 word_84 word_168 word_127 word_156 word_24 word_149 word_175 word_292 word_290 word_49 word_29 word_268 word_183 word_253,0
word_90 word_178 word_81 word_227 word_200 word_157 word_291 word_85 word_274,1
word_262 word_245 word_196 word_89 word_278 word_241 word_9 word_155 word_88 word_143 word_210 word_244,0
word_268 word_3 word_226 word_130 word_149 word_192 word_234 word_149 word_128 word_105 word_259 word_91 word_170,0
word_145 word_109 word_174 word_102 word_191 word_163 word_10 word_79 word_15 word_8,1
word_181 word_77 word_71 word_285 word_232 word_214,1
word_219 word_10 word_153 word_60 word_252 word_214 word_150 word_190 word_258 word_142 word_53 word_242 word_163,1
word_231 word_43 word_208 word_156 word_123 word_188 word_6 word_190 word_57 word_262 word_215 word_190,0
word_223 word_82 word_41 word_173 word_81 word_152 word_13 word_235 word_291 word_103,1
word_106 word_13 word_154 word_37 word_66 word_132 word_273 word_253 word_280,1
word_203 word_275 word_210 word_53 word_126 word_113,1
word_178 word_8 word_217 word_121 word_165 word_242 word_77 word_16 word_188,0
word_261 word_265 word_34 word_41 word_219,0
word_272 word_85 word_21 word_148 word_263 word_151 word_267,1
word_59 word_13 word_87 word_169 word_144 word_188 word_213 word_148 word_158 word_2,1
word_165 word_190 word_296 word_229 word_232,1
word_249 word_219 word_16 word_180 word_64 word_146 word_290,0
word_125 word_166 word_36 word_269 word_157 word_27 word_44,0
word_36 word_261 word_193 word_82 word_192 word_27 word_293 word_148,1
word_64 word_162 word_53 word_42 word_97 word_13 word_74 word_128 word_35 word_280,0
word_22 word_249 word_128 word_164 word_0 word_110 word_285 word_61,0
